0.000000	0.000000	0.000000
0.557286	0.673159	-0.486096
0.411008	-0.525405	-0.744998
-0.576000	0.585141	-0.570819
-0.058952	-0.998228	0.008080
0.671827	-0.643902	-0.366113
-0.147877	0.617325	-0.772685
-0.527370	0.221392	-0.820285
0.091543	-0.251136	-0.963613
-0.850415	-0.498192	0.169112
-0.764016	-0.584574	-0.273045
0.000000	0.000000	0.000000
0.300301	0.470652	-0.829642
-0.527168	-0.551126	-0.646804
0.723852	0.265109	-0.636989
-0.878656	0.262998	-0.398492
-0.286924	0.886166	-0.363848
0.938309	-0.334647	-0.087105
-0.397842	0.913244	0.087796
-0.085190	-0.635081	-0.767733
0.307272	0.873671	0.377204
0.448367	0.003264	-0.893843
0.000000	0.000000	0.000000
0.955559	0.060361	-0.288553
-0.157881	-0.866147	0.474197
0.178264	-0.864319	-0.470292
-0.510729	-0.858184	0.051732
0.726454	-0.673055	0.138787
-0.059404	0.198388	-0.978322
-0.368122	-0.199753	-0.908067
-0.777683	-0.149878	-0.610528
0.762668	-0.240762	-0.600309
0.973096	0.146769	0.177601
